Promotion::Start Date Promo,Account Factors::Profit Center,Promo ID,Pricing::Segment,Pricing::Engine,Promotion::SKU,Promotion::End Date Promo,Pricing::Street,Promotion::Promo_Value,Promotion::Promo Type,Promotion::Promo_Net Price Point,Exp_Revenue Est,Exp_Billing Profit,Exp_Billing Profit Supply,Exp_Promo,Exp_Sales,Exp_Net Billing Profit,Account,Sell Through Estimate Adj,Sell Through Estimate POS,Sell Through Estimate Inv,Final Quantity,Sell Through Estimate,SOP_Period,SOP_Half,SOP_Quarter,Usage ID,Account Factors::SAP Account,Promotion::LevelType
2015-06-01,1080,8126,zzz,123,TP1,6/30/2015,89.99,30.0,2,49.99,282.8223065,51.80111924,305.1656971,150.0,79.06434358,127.9024728,3,5.0,94.0,93.66666666666666,5.0,5.0,203,H1,Q1,32238.0,3,3
2015-06-01,1010,8126,zzz,123,TP1,6/30/2015,89.99,30.0,2,49.99,2828.223065,518.0111924,3051.656971,3030.0,1317.73906,-778.070896,2,50.0,103.0,101.0,101.0,50.0,203,H1,Q1,32239.0,2,2
2015-04-01,1010,8122,zzz,123,TP1,4/30/2015,459.99,30.0,2,424.99,0.0,0.0,0.0,0.0,0.0,0.0,2,14.285714285714286,95.85714285714286,9.25,5.285714285714286,14.285714285714286,201,H1,Q1,32655.0,2,2
2015-04-01,1010,8122,zzz,123,TP1,4/30/2015,459.99,30.0,2,424.99,0.0,0.0,0.0,0.0,0.0,0.0,2,28.571428571428573,92.28571428571428,13.875,10.571428571428571,28.571428571428573,201,H1,Q1,32698.0,2,2
2015-05-01,1010,8124,zzz,123,TP1,5/31/2015,79.99,30.0,2,39.99,0.0,0.0,0.0,0.0,0.0,0.0,2,42.85714285714286,88.71428571428571,18.5,15.857142857142858,42.85714285714286,202,H1,Q1,32740.0,2,2
2015-05-01,1010,8124,zzz,123,TP1,5/31/2015,79.99,30.0,2,39.99,0.0,0.0,0.0,0.0,0.0,0.0,2,57.142857142857146,85.14285714285714,23.125,21.142857142857142,57.142857142857146,202,H1,Q1,32783.0,2,2
2015-06-01,1010,8126,zzz,123,TP1,6/30/2015,89.99,30.0,2,49.99,0.0,0.0,0.0,0.0,0.0,0.0,2,71.42857142857143,81.57142857142857,27.75,26.428571428571427,71.42857142857143,203,H1,Q1,32825.0,2,2
2015-06-01,1010,8126,zzz,123,TP1,6/30/2015,89.99,30.0,2,49.99,0.0,0.0,0.0,0.0,0.0,0.0,2,85.71428571428572,78.0,32.375,31.714285714285715,85.71428571428572,203,H1,Q1,32868.0,2,2
2015-04-01,1010,8122,zzz,123,TP1,4/30/2015,459.99,30.0,2,424.99,5656.44613,1036.022385,6103.313943,1110.0,3689.669367,2339.66696,1,100.0,74.42857142857143,37.0,37.0,100.0,201,H1,Q1,33035.0,1,1
2015-05-01,1010,8124,zzz,123,TP1,5/31/2015,79.99,30.0,2,39.99,28282.23065,5180.111924,30516.56971,7470.0,18448.34684,9778.334801,1,500.0,70.85714285714286,249.0,249.0,500.0,202,H1,Q1,33069.0,1,1
2015-06-01,1010,8126,zzz,123,TP1,6/30/2015,89.99,30.0,2,49.99,25454.00758,4662.100732,27464.91274,3690.0,16603.51215,11833.50132,1,450.0,67.28571428571428,123.0,123.0,450.0,203,H1,Q1,33083.0,1,1
2015-01-01,1010,6895,zzz,123,TP1,1/31/2015,459.99,30.0,1,429.99,0.0,0.0,0.0,0.0,0.0,0.0,2,227.5,63.714285714285715,120.9,64.0,227.5,210,H2,Q1,33154.0,2,2
2015-07-01,1080,9189,zzz,123,TP1,7/31/2015,89.99,30.0,2,49.99,282.8223065,51.80111924,305.1656971,150.0,79.06434358,127.9024728,3,5.0,60.14285714285714,118.8,5.0,5.0,204,H1,Q2,35114.0,3,3
2015-07-01,1080,9188,zzz,123,TP1,7/31/2015,89.99,10.0,2,49.99,0.0,0.0,0.0,50.0,0.0,-50.0,3,5.0,56.57142857142857,116.7,5.0,5.0,204,H1,Q2,35115.0,3,3
2015-07-01,1010,9189,zzz,123,TP1,7/31/2015,89.99,30.0,2,49.99,2375.707375,435.1294017,2563.391856,1590.0,1106.90081,301.6204474,2,42.0,53.0,114.6,53.0,42.0,204,H1,Q2,35116.0,2,2
2015-07-01,1010,9188,zzz,123,TP1,7/31/2015,89.99,10.0,2,49.99,0.0,0.0,0.0,160.0,0.0,-160.0,2,16.0,66.81818181818181,112.5,16.0,16.0,204,H1,Q2,35117.0,2,2
2015-07-01,1010,9189,zzz,123,TP1,7/31/2015,89.99,30.0,2,49.99,0.0,0.0,0.0,0.0,0.0,0.0,1,12.333333333333334,80.63636363636364,110.4,12.333333333333334,12.333333333333334,204,H1,Q2,35118.0,1,1
2015-07-01,1010,9188,zzz,123,TP1,7/31/2015,89.99,10.0,2,49.99,0.0,0.0,0.0,0.0,0.0,0.0,1,8.666666666666668,94.45454545454545,108.3,8.666666666666668,8.666666666666668,204,H1,Q2,35119.0,1,1
2015-08-01,1080,9191,zzz,123,TP1,8/31/2015,89.99,30.0,2,49.99,282.8223065,51.80111924,305.1656971,150.0,79.06434358,127.9024728,3,5.0,108.27272727272728,106.2,5.0,5.0,205,H1,Q2,35120.0,3,3
2015-08-01,1080,9190,zzz,123,TP1,8/31/2015,89.99,10.0,2,49.99,0.0,0.0,0.0,50.0,0.0,-50.0,3,5.0,122.0909090909091,104.1,5.0,5.0,205,H1,Q2,35121.0,3,3
2015-08-01,1010,9191,zzz,123,TP1,8/31/2015,89.99,30.0,2,49.99,4525.156904,828.8179079,4882.651154,3060.0,2108.382496,543.0865664,2,80.0,135.9090909090909,102.0,102.0,80.0,205,H1,Q2,35122.0,2,2
2015-08-01,1010,9191,zzz,123,TP1,8/31/2015,89.99,30.0,2,49.99,0.0,0.0,0.0,0.0,0.0,0.0,1,1.6666666666666667,163.54545454545456,104.0,1.6666666666666667,19.0,205,H1,Q2,35124.0,1,1
2015-08-01,1010,9190,zzz,123,TP1,8/31/2015,89.99,10.0,2,49.99,0.0,0.0,0.0,0.0,0.0,0.0,1,3.3333333333333335,177.36363636363637,105.0,3.3333333333333335,12.0,205,H1,Q2,35125.0,1,1
2015-09-01,1080,9193,zzz,123,TP1,9/30/2015,89.99,30.0,2,49.99,282.8223065,51.80111924,305.1656971,150.0,79.06434358,127.9024728,3,5.0,191.1818181818182,106.0,5.0,5.0,206,H1,Q2,35126.0,3,3
2015-09-01,1080,9192,zzz,123,TP1,9/30/2015,89.99,10.0,2,49.99,0.0,0.0,0.0,50.0,0.0,-50.0,3,5.0,205.0,107.0,5.0,5.0,206,H1,Q2,35127.0,3,3
2015-09-01,1010,9193,zzz,123,TP1,9/30/2015,89.99,30.0,2,49.99,7919.024582,1450.431339,8544.63952,3240.0,3689.669367,3065.401491,2,140.0,218.8181818181818,108.0,108.0,140.0,206,H1,Q2,35128.0,2,2
2015-09-01,1010,9193,zzz,123,TP1,9/30/2015,89.99,30.0,2,49.99,0.0,0.0,0.0,0.0,0.0,0.0,1,26.4,246.45454545454547,135.0,37.8,44.8,206,H1,Q2,35130.0,1,1
2015-09-01,1010,9192,zzz,123,TP1,9/30/2015,89.99,10.0,2,49.99,0.0,0.0,0.0,0.0,0.0,0.0,1,52.8,260.27272727272725,148.5,75.6,63.6,206,H1,Q2,35131.0,1,1
2015-10-01,1080,9195,zzz,123,TP1,10/31/2015,89.99,30.0,2,49.99,0.0,0.0,0.0,0.0,0.0,0.0,3,79.19999999999999,274.0909090909091,162.0,113.39999999999999,82.4,207,H2,Q3,35132.0,3,3
2015-10-01,1080,9194,zzz,123,TP1,10/31/2015,89.99,10.0,2,49.99,0.0,0.0,0.0,0.0,0.0,0.0,3,105.6,287.9090909090909,175.5,151.2,101.2,207,H2,Q3,35133.0,3,3
2015-10-01,1010,9195,zzz,123,TP1,10/31/2015,89.99,30.0,2,49.99,7466.508891,1367.549548,8056.374404,5670.0,3478.831118,275.0928346,2,132.0,301.72727272727275,189.0,189.0,120.0,207,H2,Q3,35134.0,2,2
2015-10-01,1010,9194,zzz,123,TP1,10/31/2015,89.99,10.0,2,49.99,0.0,0.0,0.0,0.0,0.0,0.0,2,374.0,315.54545454545456,94.5,94.5,472.5,207,H2,Q3,35135.0,2,2
2015-11-01,1080,9197,zzz,123,TP1,11/30/2015,89.99,30.0,2,49.99,0.0,0.0,0.0,0.0,0.0,0.0,3,320.3333333333333,357.0,59.0,59.0,596.6666666666666,208,H2,Q3,35138.0,3,3
2015-11-01,1080,9196,zzz,123,TP1,11/30/2015,89.99,10.0,2,49.99,0.0,0.0,0.0,0.0,0.0,0.0,3,270.6666666666667,370.8181818181818,118.0,118.0,368.3333333333333,208,H2,Q3,35139.0,3,3
2015-11-01,1010,9197,zzz,123,TP1,11/30/2015,89.99,30.0,2,49.99,12500.74595,2289.609471,13488.32381,5310.0,5824.406644,4643.52664,2,221.0,384.6363636363636,177.0,177.0,140.0,208,H2,Q3,35140.0,2,2
2015-11-01,1010,9196,zzz,123,TP1,11/30/2015,89.99,10.0,2,49.99,0.0,0.0,0.0,530.0,0.0,-530.0,2,110.5,398.45454545454544,53.0,53.0,490.0,208,H2,Q3,35141.0,2,2
2015-11-01,1010,9196,zzz,123,TP1,11/30/2015,89.99,10.0,2,49.99,0.0,0.0,0.0,0.0,0.0,0.0,1,12.5,426.0909090909091,183.0,12.5,432.5,208,H2,Q3,35143.0,1,1
2015-12-01,1080,9199,zzz,123,TP1,12/31/2015,89.99,30.0,2,49.99,1414.111532,259.0055962,1525.828486,750.0,395.3217179,639.5123639,3,25.0,439.90909090909093,248.0,25.0,25.0,209,H2,Q3,35144.0,3,3
2015-12-01,1080,9198,zzz,123,TP1,12/31/2015,89.99,10.0,2,49.99,0.0,0.0,0.0,250.0,0.0,-250.0,3,25.0,453.72727272727275,313.0,25.0,25.0,209,H2,Q3,35145.0,3,3
2015-12-01,1010,9199,zzz,123,TP1,12/31/2015,89.99,30.0,2,49.99,7466.508891,1367.549548,8056.374404,11340.0,3478.831118,-5394.907165,2,132.0,467.54545454545456,378.0,378.0,125.0,209,H2,Q3,35146.0,2,2
2015-12-01,1010,9198,zzz,123,TP1,12/31/2015,89.99,10.0,2,49.99,0.0,0.0,0.0,670.0,0.0,-670.0,2,304.0,481.3636363636364,67.0,67.0,375.0,209,H2,Q3,35147.0,2,2
2015-12-01,1010,9198,zzz,123,TP1,12/31/2015,89.99,10.0,2,49.99,0.0,0.0,0.0,5090.0,0.0,-5090.0,1,286.0,509.0,509.0,509.0,286.0,209,H2,Q3,35149.0,1,1
2016-01-01,1080,9201,zzz,123,TP1,1/31/2016,89.99,30.0,1,59.99,791.9024582,145.0431339,854.463952,420.0,221.380162,358.1269238,3,14.0,511.75,384.0,14.0,730.0,210,H2,Q1,35150.0,3,3
2016-01-01,1010,9201,zzz,123,TP1,1/31/2016,89.99,30.0,1,59.99,9729.087343,1781.958502,10497.69998,4020.0,4533.022365,3726.636118,2,172.0,517.25,134.0,134.0,151.0,210,H2,Q1,35152.0,2,2
2016-01-01,1010,9200,zzz,123,TP1,1/31/2016,89.99,35.0,1,54.99,36484.07754,6682.344383,39366.37493,18200.0,16998.83387,10849.88544,2,645.0,520.0,67.0,520.0,172.0,210,H2,Q1,35153.0,2,2
2016-01-01,1010,9200,zzz,123,TP1,1/31/2016,89.99,35.0,1,54.99,5147.365978,942.7803703,5554.015688,7000.0,3357.599124,-3860.803066,1,91.0,200.0,200.0,200.0,252.0,210,H2,Q1,35155.0,1,1
2016-02-01,1080,9203,zzz,123,TP1,2/29/2016,89.99,30.0,1,59.99,791.9024582,145.0431339,854.463952,690.0,221.380162,88.12692381,3,14.0,197.46666666666667,23.0,23.0,700.0,211,H2,Q4,35156.0,3,3
2016-02-01,1010,9203,zzz,123,TP1,2/29/2016,89.99,30.0,1,59.99,9050.313808,1657.635816,9765.302308,35940.0,4216.764991,-28733.82687,2,160.0,192.4,1198.0,1198.0,140.0,211,H2,Q4,35158.0,2,2
2016-03-01,1080,9204,zzz,123,TP1,3/31/2016,89.99,40.0,1,49.99,678.7735356,124.3226862,732.3976731,1800.0,189.7544246,-1133.034065,3,12.0,179.73333333333335,45.0,45.0,12.0,212,H2,Q4,35163.0,3,3
2016-03-01,1010,9204,zzz,123,TP1,3/31/2016,89.99,40.0,1,49.99,5656.44613,1036.022385,6103.313943,11160.0,2635.478119,-6656.141792,2,100.0,174.66666666666666,279.0,279.0,154.0,212,H2,Q4,35165.0,2,2
2015-06-01,1010,8126,zzz,123,TP1,6/30/2015,89.99,30.0,2,49.99,5656.44613,1036.022385,6103.313943,3690.0,3689.669367,-240.3330398,1,100.0,167.06666666666666,123.0,123.0,100.0,203,H1,Q1,36080.0,1,1
2015-04-01,1010,8122,zzz,123,TP1,4/30/2015,459.99,30.0,2,424.99,0.0,0.0,0.0,0.0,0.0,0.0,2,113.84615384615384,164.53333333333333,132.07692307692307,132.07692307692307,113.84615384615384,201,H1,Q1,36364.0,2,2
2015-05-01,1010,8124,zzz,123,TP1,5/31/2015,79.99,30.0,2,39.99,0.0,0.0,0.0,0.0,0.0,0.0,2,127.6923076923077,162.0,141.15384615384616,141.15384615384616,127.6923076923077,202,H1,Q1,36424.0,2,2
2015-05-01,1080,8124,zzz,123,TP1,5/31/2015,79.99,30.0,2,39.99,0.0,0.0,0.0,0.0,0.0,0.0,2,141.53846153846155,159.46666666666667,150.23076923076923,150.23076923076923,141.53846153846155,202,H1,Q1,36535.0,2,2
2015-05-01,1080,8124,zzz,123,TP1,5/31/2015,79.99,30.0,2,39.99,0.0,0.0,0.0,0.0,0.0,0.0,2,155.3846153846154,156.93333333333334,159.30769230769232,159.30769230769232,155.3846153846154,202,H1,Q1,36536.0,2,2
2015-07-01,1010,9189,zzz,123,TP1,7/31/2015,89.99,30.0,2,49.99,0.0,0.0,0.0,0.0,0.0,0.0,2,169.23076923076923,154.4,168.3846153846154,168.3846153846154,169.23076923076923,204,H1,Q2,36633.0,2,2
2015-07-01,1010,9189,zzz,123,TP1,7/31/2015,89.99,30.0,2,49.99,0.0,0.0,0.0,0.0,0.0,0.0,2,183.0769230769231,151.86666666666667,177.46153846153845,177.46153846153845,183.0769230769231,204,H1,Q2,36680.0,2,2
2015-08-01,1010,9191,zzz,123,TP1,8/31/2015,89.99,30.0,2,49.99,0.0,0.0,0.0,0.0,0.0,0.0,2,196.92307692307693,149.33333333333334,186.53846153846155,186.53846153846155,196.92307692307693,205,H1,Q2,36727.0,2,2
2015-08-01,1010,9191,zzz,123,TP1,8/31/2015,89.99,30.0,2,49.99,0.0,0.0,0.0,0.0,0.0,0.0,2,210.76923076923077,146.8,195.6153846153846,195.6153846153846,210.76923076923077,205,H1,Q2,36774.0,2,2
2015-09-01,1010,9193,zzz,123,TP1,9/30/2015,89.99,30.0,2,49.99,0.0,0.0,0.0,0.0,0.0,0.0,2,224.6153846153846,144.26666666666665,204.69230769230768,204.69230769230768,224.6153846153846,206,H1,Q2,36821.0,2,2
2015-09-01,1010,9193,zzz,123,TP1,9/30/2015,89.99,30.0,2,49.99,0.0,0.0,0.0,0.0,0.0,0.0,2,238.46153846153845,141.73333333333335,213.76923076923077,213.76923076923077,238.46153846153845,206,H1,Q2,36868.0,2,2
2015-06-01,1010,8126,zzz,123,TP1,6/30/2015,89.99,30.0,2,49.99,0.0,0.0,0.0,0.0,0.0,0.0,2,252.30769230769232,139.2,222.84615384615384,222.84615384615384,252.30769230769232,203,H1,Q1,36961.0,2,2
2015-06-01,1050,8126,zzz,123,TP1,6/30/2015,89.99,30.0,2,49.99,0.0,0.0,0.0,0.0,0.0,0.0,2,266.1538461538462,136.66666666666669,231.9230769230769,231.9230769230769,266.1538461538462,203,H1,Q1,36962.0,2,2
2015-07-01,1010,9189,zzz,123,TP1,7/31/2015,89.99,30.0,2,49.99,15838.04916,2900.862678,17089.27904,7230.0,10331.07423,2429.067489,1,280.0,134.13333333333333,241.0,241.0,280.0,204,H1,Q2,37391.0,1,1
2015-08-01,1010,9191,zzz,123,TP1,8/31/2015,89.99,30.0,2,49.99,11312.89226,2072.04477,12206.62789,10320.0,7379.338735,-3420.66608,1,200.0,131.60000000000002,344.0,344.0,200.0,205,H1,Q2,37405.0,1,1
2015-08-01,1010,9191,zzz,123,TP1,8/31/2015,89.99,30.0,2,49.99,7070.557662,1295.027981,7629.142428,10260.0,4612.086709,-5947.9163,1,125.0,129.06666666666666,342.0,342.0,125.0,205,H1,Q2,37420.0,1,1
2015-08-01,1010,9190,zzz,123,TP1,8/31/2015,89.99,10.0,2,49.99,0.0,0.0,0.0,3420.0,0.0,-3420.0,1,125.0,126.53333333333333,342.0,342.0,125.0,205,H1,Q2,37421.0,1,1
2015-09-01,1010,9193,zzz,123,TP1,9/30/2015,89.99,30.0,2,49.99,12727.00379,2331.050366,13732.45637,3720.0,8301.756076,4041.750661,1,225.0,124.0,124.0,124.0,225.0,206,H1,Q2,37429.0,1,1
2015-09-01,1010,9193,zzz,123,TP1,9/30/2015,89.99,30.0,2,49.99,12727.00379,2331.050366,13732.45637,3720.0,8301.756076,4041.750661,1,225.0,124.0,124.0,124.0,225.0,206,H1,Q2,37441.0,1,1
2015-07-01,1010,9189,zzz,123,TP1,7/31/2015,89.99,30.0,2,49.99,0.0,0.0,0.0,0.0,0.0,0.0,2,232.29166666666666,134.16666666666666,116.66666666666667,116.66666666666667,232.29166666666666,204,H1,Q2,37463.0,2,2
2015-07-01,1050,9189,zzz,123,TP1,7/31/2015,89.99,30.0,2,49.99,0.0,0.0,0.0,0.0,0.0,0.0,2,239.58333333333334,144.33333333333334,109.33333333333333,109.33333333333333,239.58333333333334,204,H1,Q2,37488.0,2,2
2015-08-01,1010,9191,zzz,123,TP1,8/31/2015,89.99,30.0,2,49.99,0.0,0.0,0.0,0.0,0.0,0.0,2,246.875,154.5,102.0,102.0,246.875,205,H1,Q2,37585.0,2,2
2015-07-01,1010,9189,zzz,123,TP1,7/31/2015,89.99,30.0,2,49.99,0.0,0.0,0.0,0.0,0.0,0.0,2,254.16666666666666,164.66666666666666,94.66666666666667,94.66666666666667,254.16666666666666,204,H1,Q2,37614.0,2,2
2015-04-01,1010,8122,zzz,123,TP1,4/30/2015,459.99,30.0,2,424.99,0.0,0.0,0.0,0.0,0.0,0.0,2,261.4583333333333,174.83333333333331,87.33333333333334,87.33333333333334,261.4583333333333,201,H1,Q1,37779.0,2,2
2015-05-01,1010,8124,zzz,123,TP1,5/31/2015,79.99,30.0,2,39.99,0.0,0.0,0.0,0.0,0.0,0.0,2,268.75,185.0,80.0,80.0,268.75,202,H1,Q1,37785.0,2,2
2015-08-01,1080,9191,zzz,123,TP1,8/31/2015,89.99,30.0,2,49.99,0.0,0.0,0.0,0.0,0.0,0.0,3,276.0416666666667,195.16666666666666,72.66666666666667,72.66666666666667,276.0416666666667,205,H1,Q2,38164.0,3,3
